,metric,partition,value,iteration
0,coverage_80pct,test,0.8955223880597015,0
1,coverage_80pct,train,0.9271028037383178,0
2,coverage_80pct,valid,0.8582089552238806,0
3,diameter_80pct,test,1.5389683307476705,0
4,diameter_80pct,train,1.5236562122721067,0
5,diameter_80pct,valid,1.5160744904207442,0
6,mape,test,0.3255095779798482,0
7,mape,train,0.2483331121296059,0
8,mape,valid,0.3077069900118165,0
9,confidence_error,test,0.33969248111794215,0
10,confidence_error,train,0.41263451647483335,0
11,confidence_error,valid,0.2908527867120043,0
12,elbo,train,10375.811722278595,0
0,coverage_80pct,test,0.9029850746268657,1
1,coverage_80pct,train,0.9242990654205607,1
2,coverage_80pct,valid,0.8507462686567164,1
3,diameter_80pct,test,1.587441088024716,1
4,diameter_80pct,train,1.5738151162775678,1
5,diameter_80pct,valid,1.579445924231493,1
6,mape,test,0.31621524080643276,1
7,mape,train,0.24913260359442013,1
8,mape,valid,0.3166372535781285,1
9,confidence_error,test,0.39073189862432933,1
10,confidence_error,train,0.4466918282958424,1
11,confidence_error,valid,0.3288458855576345,1
12,elbo,train,10534.321987628937,1
0,coverage_80pct,test,0.8955223880597015,2
1,coverage_80pct,train,0.9242990654205607,2
2,coverage_80pct,valid,0.8656716417910447,2
3,diameter_80pct,test,1.4788057803037105,2
4,diameter_80pct,train,1.4653356251618446,2
5,diameter_80pct,valid,1.4783608273232767,2
6,mape,test,0.3091219511624245,2
7,mape,train,0.2410219977650571,2
8,mape,valid,0.29781044271258555,2
9,confidence_error,test,0.36081980368876143,2
10,confidence_error,train,0.4487475978934012,2
11,confidence_error,valid,0.339941529785475,2
12,elbo,train,10401.890500068665,2
0,coverage_80pct,test,0.8805970149253731,3
1,coverage_80pct,train,0.9214953271028037,3
2,coverage_80pct,valid,0.8507462686567164,3
3,diameter_80pct,test,1.4195334968744706,3
4,diameter_80pct,train,1.3883792597069164,3
5,diameter_80pct,valid,1.4156941354631583,3
6,mape,test,0.3297113096013107,3
7,mape,train,0.2621400186491689,3
8,mape,valid,0.32375626795661283,3
9,confidence_error,test,0.3278059162910976,3
10,confidence_error,train,0.3935615429863726,3
