,metric,partition,value,iteration
0,MAPE,test,0.29512284305782677,0
1,MAPE,train,0.2477747084994887,0
2,MAPE,valid,0.286983541605431,0
3,MAE,test,2908.9508842962928,0
4,MAE,train,2366.5349453627464,0
5,MAE,valid,3250.2652048519103,0
6,emp_coverage_80pct,test,0.9253731343283582,0
7,emp_coverage_80pct,train,0.9355140186915888,0
8,emp_coverage_80pct,valid,0.8656716417910447,0
9,perc_lenght_80pct,test,1.8140731172517295,0
10,perc_lenght_80pct,train,1.7326631682565299,0
11,perc_lenght_80pct,valid,1.7413455816747827,0
12,abs_lenght_80pct,test,16266.14898640049,0
13,abs_lenght_80pct,train,15994.749954349965,0
14,abs_lenght_80pct,valid,16183.073781993904,0
15,confidence_error,test,0.5064311347883654,0
16,confidence_error,train,0.5496096833640188,0
17,confidence_error,valid,0.45223087626424313,0
18,elbo,train,10443.558277606964,0
0,MAPE,test,0.2892604050580126,1
1,MAPE,train,0.23722336640192054,1
2,MAPE,valid,0.2667555146675521,1
3,MAE,test,3105.9526920300846,1
4,MAE,train,2415.9457061797752,1
5,MAE,valid,3134.165725826141,1
6,emp_coverage_80pct,test,0.9253731343283582,1
7,emp_coverage_80pct,train,0.9336448598130841,1
8,emp_coverage_80pct,valid,0.8656716417910447,1
9,perc_lenght_80pct,test,1.929558875449052,1
10,perc_lenght_80pct,train,1.8223051657615794,1
11,perc_lenght_80pct,valid,1.8513369522342267,1
12,abs_lenght_80pct,test,17372.714956440883,1
13,abs_lenght_80pct,train,17217.144170931355,1
14,abs_lenght_80pct,valid,17563.980273283312,1
15,confidence_error,test,0.4783120364027425,1
16,confidence_error,train,0.5437469330302406,1
17,confidence_error,valid,0.487360064326431,1
18,elbo,train,10499.78083562851,1
0,MAPE,test,0.31924153237199254,2
1,MAPE,train,0.2673950787969191,2
2,MAPE,valid,0.28954659100282154,2
3,MAE,test,3190.1098404909058,2
4,MAE,train,2527.4824626312943,2
5,MAE,valid,3167.0151007299423,2
6,emp_coverage_80pct,test,0.9253731343283582,2
7,emp_coverage_80pct,train,0.9327102803738317,2
8,emp_coverage_80pct,valid,0.8805970149253731,2
9,perc_lenght_80pct,test,1.825156554021311,2
10,perc_lenght_80pct,train,1.7375820093590106,2
11,perc_lenght_80pct,valid,1.7513280394954074,2
12,abs_lenght_80pct,test,15867.786743013741,2
13,abs_lenght_80pct,train,15845.205765957824,2
14,abs_lenght_80pct,valid,16104.370954021346,2
15,confidence_error,test,0.3820991213859898,2
16,confidence_error,train,0.43184073428906206,2
17,confidence_error,valid,0.3741461159840117,2
18,elbo,train,10545.188343048096,2
0,MAPE,test,0.3136999341727694,3
1,MAPE,train,0.262289088699532,3
2,MAPE,valid,0.28464419654716655,3
3,MAE,test,3304.7982160943334,3
4,MAE,train,2613.6629320340403,3
5,MAE,valid,3211.653000272271,3
6,emp_coverage_80pct,test,0.917910447761194,3
7,emp_coverage_80pct,train,0.9280373831775701,3
8,emp_coverage_80pct,valid,0.8731343283582089,3
9,perc_lenght_80pct,test,1.6764458907615225,3
10,perc_lenght_80pct,train,1.593170219927182,3
11,perc_lenght_80pct,valid,1.6140318464419559,3
12,abs_lenght_80pct,test,15406.647471546241,3
13,abs_lenght_80pct,train,15118.88163030049,3
14,abs_lenght_80pct,valid,15427.963302380847,3
15,confidence_error,test,0.35658056655498016,3
16,confidence_error,train,0.41806212891046196,3
17,confidence_error,valid,0.3693454274649245,3
18,elbo,train,10693.86905002594,3
0,MAPE,test,0.29053207485184407,4
1,MAPE,train,0.23942304309095208,4
2,MAPE,valid,0.26109479370756133,4
3,MAE,test,2968.8599586054106,4
4,MAE,train,2376.198095514616,4
5,MAE,valid,3152.2545990595836,4
6,emp_coverage_80pct,test,0.917910447761194,4
7,emp_coverage_80pct,train,0.9327102803738317,4
8,emp_coverage_80pct,valid,0.8582089552238806,4
9,perc_lenght_80pct,test,1.6556666923999694,4
10,perc_lenght_80pct,train,1.5823047656131335,4
11,perc_lenght_80pct,valid,1.5860386148266852,4
12,abs_lenght_80pct,test,14881.931575220297,4
13,abs_lenght_80pct,train,14873.91130396016,4
14,abs_lenght_80pct,valid,15127.424583548536,4
15,confidence_error,test,0.4202498981145915,4
16,confidence_error,train,0.48380868622497625,4
17,confidence_error,valid,0.44451985951127326,4
18,elbo,train,10426.483950138092,4
0,MAPE,test,0.36481848843004727,5
1,MAPE,train,0.3157088343049978,5
2,MAPE,valid,0.3381629247610395,5
3,MAE,test,3509.8286239243243,5
