,metric,partition,value,iteration
0,coverage_80pct,test,0.9946808510638298,0
1,coverage_80pct,train,0.9993364299933643,0
2,coverage_80pct,valid,0.9946808510638298,0
3,diameter_80pct,test,5.123055684939042,0
4,diameter_80pct,train,4.814418159476204,0
5,diameter_80pct,valid,5.9312904507135045,0
6,diameter_80pct_abs,test,148.52832026725548,0
7,diameter_80pct_abs,train,144.55458599109298,0
8,diameter_80pct_abs,valid,148.83121565432464,0
9,mape,test,0.8862181698417887,0
10,mape,train,0.8900784189880041,0
11,mape,valid,1.1309111296201924,0
12,mae,test,19.860977345324578,0
13,mae,train,18.840938360547103,0
14,mae,valid,20.885580631012612,0
15,confidence_error,test,0.3956872826747719,0
16,confidence_error,train,0.4081713635686524,0
17,confidence_error,valid,0.35568591941301053,0
18,elbo,train,581686.0602788925,0
0,coverage_80pct,test,1.0,1
1,coverage_80pct,train,0.9980092899800929,1
2,coverage_80pct,valid,0.9893617021276596,1
3,diameter_80pct,test,5.475646529800187,1
4,diameter_80pct,train,5.118068928702058,1
5,diameter_80pct,valid,5.932308972831102,1
6,diameter_80pct_abs,test,156.01294372057376,1
7,diameter_80pct_abs,train,155.347883817392,1
8,diameter_80pct_abs,valid,154.97632405700634,1
9,mape,test,0.7675140817501405,1
10,mape,train,0.8183861941799554,1
11,mape,valid,0.9778917703916008,1
12,mae,test,21.39430222612746,1
13,mae,train,21.607464397357013,1
14,mae,valid,22.82902411197094,1
15,confidence_error,test,0.36210282761615276,1
16,confidence_error,train,0.3712346190160204,1
17,confidence_error,valid,0.329676737777699,1
18,elbo,train,108442.84498405457,1
0,coverage_80pct,test,1.0,2
1,coverage_80pct,train,0.9980092899800929,2
2,coverage_80pct,valid,1.0,2
3,diameter_80pct,test,5.039630272792408,2
4,diameter_80pct,train,4.955143596674915,2
5,diameter_80pct,valid,5.884900366419222,2
6,diameter_80pct_abs,test,146.62857785455523,2
7,diameter_80pct_abs,train,146.8619655996989,2
8,diameter_80pct_abs,valid,151.41074715708305,2
9,mape,test,0.7972993917096485,2
10,mape,train,0.8136483421023047,2
11,mape,valid,1.0909922002031878,2
12,mae,test,20.824490618198475,2
13,mae,train,20.981777384807987,2
14,mae,valid,22.68649974782416,2
15,confidence_error,test,0.31168541033434655,2
16,confidence_error,train,0.3204174261609089,2
17,confidence_error,valid,0.2765786132728384,2
18,elbo,train,389841.7882614136,2
0,coverage_80pct,test,0.9946808510638298,3
1,coverage_80pct,train,0.9986728599867286,3
2,coverage_80pct,valid,0.9946808510638298,3
3,diameter_80pct,test,5.2766281537559045,3
4,diameter_80pct,train,5.140489397984076,3
5,diameter_80pct,valid,6.317091621766344,3
6,diameter_80pct_abs,test,155.25697377217318,3
7,diameter_80pct_abs,train,154.16280639759736,3
8,diameter_80pct_abs,valid,159.88403102874406,3
9,mape,test,0.8003057484563334,3
10,mape,train,0.8281664978830404,3
11,mape,valid,0.9159309578763994,3
12,mae,test,21.507663635497398,3
13,mae,train,21.57262850851908,3
14,mae,valid,23.956293045206273,3
15,confidence_error,test,0.3278683508467216,3
16,confidence_error,train,0.31990385006026295,3
17,confidence_error,valid,0.26821634485630985,3
18,elbo,train,141471.2544054985,3
0,coverage_80pct,test,1.0,4
1,coverage_80pct,train,0.9973457199734572,4
2,coverage_80pct,valid,0.9840425531914894,4
3,diameter_80pct,test,5.341175276491094,4
4,diameter_80pct,train,4.938024907725126,4
5,diameter_80pct,valid,5.845149039266442,4
6,diameter_80pct_abs,test,151.76382050125287,4
7,diameter_80pct_abs,train,148.08406418169247,4
8,diameter_80pct_abs,valid,151.02855626622198,4
9,mape,test,1.0706554361368232,4
10,mape,train,0.9785575259661914,4
11,mape,valid,1.1915401857668877,4
12,mae,test,18.5157074826829,4
13,mae,train,17.410571719133547,4
14,mae,valid,19.06783697452951,4
15,confidence_error,test,0.4004541085540599,4
16,confidence_error,train,0.4309984697263111,4
17,confidence_error,valid,0.3904871089882761,4
18,elbo,train,822691.1074028015,4
0,coverage_80pct,test,1.0,5
1,coverage_80pct,train,0.9993364299933643,5
2,coverage_80pct,valid,1.0,5
3,diameter_80pct,test,5.629176575394552,5
4,diameter_80pct,train,5.443046689667973,5
5,diameter_80pct,valid,6.222084073710053,5
6,diameter_80pct_abs,test,165.00016398097205,5
7,diameter_80pct_abs,train,164.3108665460239,5
8,diameter_80pct_abs,valid,165.57576315175055,5
9,mape,test,0.8735401871439179,5
10,mape,train,0.8199213641968032,5
11,mape,valid,0.9566805445820241,5
12,mae,test,23.877765290280607,5
13,mae,train,22.81238938517023,5
14,mae,valid,24.808960884175402,5
15,confidence_error,test,0.33140273556231004,5
16,confidence_error,train,0.35136714380510004,5
17,confidence_error,valid,0.3184023013460703,5
18,elbo,train,160864.5298690796,5
0,coverage_80pct,test,1.0,6
1,coverage_80pct,train,0.9993364299933643,6
2,coverage_80pct,valid,1.0,6
3,diameter_80pct,test,5.028333963744094,6
4,diameter_80pct,train,4.9411062349207135,6
5,diameter_80pct,valid,5.794624709258735,6
6,diameter_80pct_abs,test,147.67388531760258,6
7,diameter_80pct_abs,train,148.26773831675413,6
8,diameter_80pct_abs,valid,151.00770997515576,6
9,mape,test,0.9149681840335497,6
10,mape,train,0.8438472854991504,6
11,mape,valid,1.0007228821704415,6
12,mae,test,21.374952367011538,6
13,mae,train,20.397441723525485,6
14,mae,valid,22.30549326348812,6
15,confidence_error,test,0.3148679166304819,6
16,confidence_error,train,0.3330542904811559,6
17,confidence_error,valid,0.2768962129963579,6
18,elbo,train,348600.0543308258,6
0,coverage_80pct,test,1.0,7
1,coverage_80pct,train,0.9986728599867286,7
