,metric,partition,value,iteration
0,MAPE,test,3.2975624083233015,0
1,MAPE,train,30.60339384138497,0
2,MAPE,valid,57.66854549772212,0
3,MAE,test,2561.1434196940486,0
4,MAE,train,2446.0575228461184,0
5,MAE,valid,2883.3071165228007,0
6,emp_coverage_80pct,test,0.8708946772366931,0
7,emp_coverage_80pct,train,0.8772908366533865,0
8,emp_coverage_80pct,valid,0.8376068376068376,0
9,perc_lenght_80pct,test,11.034865268438784,0
10,perc_lenght_80pct,train,91.74833472320813,0
11,perc_lenght_80pct,valid,466.87379073722565,0
12,abs_lenght_80pct,test,10170.32622723415,0
13,abs_lenght_80pct,train,10131.802465786694,0
14,abs_lenght_80pct,valid,10360.220320192313,0
15,confidence_error,test,0.19061263784295238,0
16,confidence_error,train,0.20376801799383057,0
17,confidence_error,valid,0.10650761137793209,0
18,elbo,train,126941.51046514511,0
0,MAPE,test,3.6809071572738983,10
1,MAPE,train,25.830284637621837,10
2,MAPE,valid,18.232526055112587,10
3,MAE,test,2408.284219280863,10
4,MAE,train,2266.529912207425,10
5,MAE,valid,2903.0868188495538,10
6,emp_coverage_80pct,test,0.8742921857304643,10
7,emp_coverage_80pct,train,0.8882868525896415,10
8,emp_coverage_80pct,valid,0.8484848484848485,10
9,perc_lenght_80pct,test,13.476827652404152,10
10,perc_lenght_80pct,train,101.54235626229844,10
11,perc_lenght_80pct,valid,444.30776841624726,10
12,abs_lenght_80pct,test,10068.345221375279,10
13,abs_lenght_80pct,train,10071.447912432282,10
14,abs_lenght_80pct,valid,10261.448414376138,10
15,confidence_error,test,0.22560387828023717,10
16,confidence_error,train,0.24479158738971654,10
17,confidence_error,valid,0.13573286454782665,10
18,elbo,train,111461.94797229767,10
0,MAPE,test,3.495090126306115,20
1,MAPE,train,24.908664488035765,20
2,MAPE,valid,38.20468484105918,20
3,MAE,test,2441.959408245152,20
4,MAE,train,2330.016348885714,20
5,MAE,valid,2722.7539518987946,20
6,emp_coverage_80pct,test,0.8663646659116648,20
7,emp_coverage_80pct,train,0.879203187250996,20
8,emp_coverage_80pct,valid,0.8430458430458431,20
9,perc_lenght_80pct,test,12.28233899644632,20
10,perc_lenght_80pct,train,87.42553763617101,20
11,perc_lenght_80pct,valid,424.60619106376953,20
12,abs_lenght_80pct,test,9470.421785380993,20
13,abs_lenght_80pct,train,9457.175762070932,20
14,abs_lenght_80pct,valid,9660.64194099674,20
15,confidence_error,test,0.19265613230991435,20
16,confidence_error,train,0.2052902946016849,20
17,confidence_error,valid,0.12247114214324709,20
18,elbo,train,116539.32475185394,20
0,MAPE,test,3.356871049424116,30
1,MAPE,train,21.257517239545468,30
2,MAPE,valid,22.4456197983947,30
3,MAE,test,2484.3533026835016,30
4,MAE,train,2338.316625547809,30
5,MAE,valid,2851.1404579144814,30
6,emp_coverage_80pct,test,0.8573046432616082,30
7,emp_coverage_80pct,train,0.8710756972111554,30
8,emp_coverage_80pct,valid,0.8352758352758353,30
9,perc_lenght_80pct,test,10.699429088087648,30
10,perc_lenght_80pct,train,89.7750058058125,30
11,perc_lenght_80pct,valid,493.06451893703894,30
12,abs_lenght_80pct,test,9743.567244260821,30
13,abs_lenght_80pct,train,9718.269920926467,30
14,abs_lenght_80pct,valid,9798.229303890781,30
15,confidence_error,test,0.1696051761690462,30
16,confidence_error,train,0.18784919174779433,30
17,confidence_error,valid,0.11083944051154547,30
18,elbo,train,118525.37685632706,30
0,MAPE,test,3.0207085374814806,40
1,MAPE,train,25.922961746284685,40
2,MAPE,valid,38.25384430453386,40
3,MAE,test,2718.434327266778,40
4,MAE,train,2520.3356575479374,40
5,MAE,valid,3342.431852039016,40
6,emp_coverage_80pct,test,0.8505096262740657,40
7,emp_coverage_80pct,train,0.8647011952191235,40
8,emp_coverage_80pct,valid,0.8073038073038074,40
9,perc_lenght_80pct,test,10.15972078927854,40
10,perc_lenght_80pct,train,80.16273122342415,40
11,perc_lenght_80pct,valid,431.5948608074196,40
12,abs_lenght_80pct,test,10732.175244459771,40
13,abs_lenght_80pct,train,10697.619469670097,40
14,abs_lenght_80pct,valid,11065.70504962237,40
15,confidence_error,test,0.17036095928319786,40
16,confidence_error,train,0.1958440585280702,40
17,confidence_error,valid,0.09882292349827045,40
18,elbo,train,134383.83086681366,40
0,MAPE,test,2.7854927308676207,50
1,MAPE,train,24.992665174024406,50
2,MAPE,valid,47.15749379744073,50
3,MAE,test,2546.13673283993,50
4,MAE,train,2390.5247754949028,50
5,MAE,valid,3073.7308305561623,50
6,emp_coverage_80pct,test,0.8425821064552661,50
7,emp_coverage_80pct,train,0.857211155378486,50
8,emp_coverage_80pct,valid,0.8111888111888111,50
9,perc_lenght_80pct,test,9.124519009047757,50
10,perc_lenght_80pct,train,82.7970380601735,50
11,perc_lenght_80pct,valid,402.51207172443355,50
12,abs_lenght_80pct,test,9386.510899276098,50
13,abs_lenght_80pct,train,9363.962816228908,50
14,abs_lenght_80pct,valid,9639.403528549194,50
15,confidence_error,test,0.14342772423909822,50
16,confidence_error,train,0.16524370870039218,50
17,confidence_error,valid,0.05474230500306301,50
18,elbo,train,108845.42959976196,50
0,MAPE,test,1.7214654616471543,60
1,MAPE,train,19.91411579675334,60
2,MAPE,valid,56.34526695545111,60
3,MAE,test,2454.652757954064,60
4,MAE,train,2301.9639765376055,60
5,MAE,valid,2878.6551245174087,60
6,emp_coverage_80pct,test,0.8561721404303511,60
7,emp_coverage_80pct,train,0.8760159362549801,60
8,emp_coverage_80pct,valid,0.8205128205128205,60
9,perc_lenght_80pct,test,9.167854462287963,60
10,perc_lenght_80pct,train,90.07226682223852,60
11,perc_lenght_80pct,valid,456.5690358981215,60
12,abs_lenght_80pct,test,9507.239995140568,60
13,abs_lenght_80pct,train,9457.41079798973,60
14,abs_lenght_80pct,valid,9641.587681446692,60
15,confidence_error,test,0.16882887366013505,60
16,confidence_error,train,0.19409704723297558,60
17,confidence_error,valid,0.09097850779346986,60
18,elbo,train,148701.4142780304,60
0,MAPE,test,2.8952102514608735,70
1,MAPE,train,28.60863971260753,70
2,MAPE,valid,77.08162329428843,70
3,MAE,test,2609.665344041976,70
4,MAE,train,2463.580894226226,70
5,MAE,valid,3116.75114862568,70
6,emp_coverage_80pct,test,0.8312570781426953,70
7,emp_coverage_80pct,train,0.8479681274900398,70
8,emp_coverage_80pct,valid,0.7933177933177933,70
9,perc_lenght_80pct,test,8.386875099715418,70
10,perc_lenght_80pct,train,82.43135417559652,70
11,perc_lenght_80pct,valid,477.800229361401,70
12,abs_lenght_80pct,test,9142.087703483521,70
13,abs_lenght_80pct,train,9109.999879408573,70
14,abs_lenght_80pct,valid,9324.651715305725,70
15,confidence_error,test,0.09429225645788394,70
16,confidence_error,train,0.10989201626812199,70
17,confidence_error,valid,0.02829868502731477,70
18,elbo,train,108934.97857379913,70
0,MAPE,test,3.5599299865869076,80
1,MAPE,train,34.11219058195935,80
2,MAPE,valid,103.58992150180683,80
